Voltage,Current,Temperature,Elapsed Time,Cycle,Capacity,WhAccu,Remaining Charging Time,Source_File,Charging_Session
3.01141,0.15069,-0.63095,0.0,0.0,-2.59615,-9.66688,65721.0,585_C20DisCh.csv,4
3.03281,0.14814,-0.52579,60.0,0.0,-2.59367,-9.6594,65661.0,585_C20DisCh.csv,4
3.05169,0.14814,-0.52579,120.0,0.0,-2.5912,-9.65186,65601.0,585_C20DisCh.csv,4
3.06872,0.14814,-0.52579,180.0,0.0,-2.58873,-9.64431,65541.0,585_C20DisCh.csv,4
3.08456,0.14814,-0.52579,240.0,0.0,-2.58625,-9.6367,65481.0,585_C20DisCh.csv,4
3.09906,0.14814,-0.52579,300.0,0.0,-2.58378,-9.62904,65421.0,585_C20DisCh.csv,4
3.11288,0.14814,-0.52579,360.0,0.0,-2.5813,-9.62136,65361.0,585_C20DisCh.csv,4
3.12569,0.14814,-0.52579,420.0,0.0,-2.57883,-9.61364,65301.0,585_C20DisCh.csv,4
3.138,0.14814,-0.52579,480.0,0.0,-2.57636,-9.60591,65241.0,585_C20DisCh.csv,4
3.1498,0.14814,-0.63095,540.0,0.0,-2.57388,-9.5981,65181.0,585_C20DisCh.csv,4
3.16075,0.14814,-0.52579,600.0,0.0,-2.5714,-9.59028,65121.0,585_C20DisCh.csv,4
3.17154,0.14814,-0.52579,660.0,0.0,-2.56893,-9.58246,65061.0,585_C20DisCh.csv,4
3.18166,0.14814,-0.52579,720.0,0.0,-2.56645,-9.57459,65001.0,585_C20DisCh.csv,4
3.19143,0.15069,-0.52579,780.0,0.0,-2.56398,-9.5667,64941.0,585_C20DisCh.csv,4
3.20087,0.14814,-0.52579,840.0,0.0,-2.5615,-9.55879,64881.0,585_C20DisCh.csv,4
3.20981,0.14814,-0.63095,900.0,0.0,-2.55903,-9.55087,64821.0,585_C20DisCh.csv,4
3.21874,0.14814,-0.63095,960.0,0.0,-2.55656,-9.54292,64761.0,585_C20DisCh.csv,4
3.22717,0.14814,-0.42063,1020.0,0.0,-2.55408,-9.53494,64701.0,585_C20DisCh.csv,4
3.23526,0.14814,-0.52579,1080.0,0.0,-2.55161,-9.52696,64641.0,585_C20DisCh.csv,4
3.24318,0.14814,-0.52579,1140.0,0.0,-2.54913,-9.51894,64581.0,585_C20DisCh.csv,4
3.25094,0.14814,-0.42063,1200.0,0.0,-2.54666,-9.51091,64521.0,585_C20DisCh.csv,4
3.25835,0.14814,-0.42063,1260.0,0.0,-2.54419,-9.50287,64461.0,585_C20DisCh.csv,4
3.26543,0.14814,-0.52579,1320.0,0.0,-2.54172,-9.49481,64401.0,585_C20DisCh.csv,4
3.27251,0.14814,-0.63095,1380.0,0.0,-2.53925,-9.48672,64341.0,585_C20DisCh.csv,4
3.27942,0.14814,-0.63095,1440.0,0.0,-2.53677,-9.4786,64281.0,585_C20DisCh.csv,4
3.286,0.14814,-0.52579,1500.0,0.0,-2.5343,-9.4705,64221.0,585_C20DisCh.csv,4
3.2924,0.14814,-0.42063,1560.0,0.0,-2.53182,-9.46235,64161.0,585_C20DisCh.csv,4
3.29864,0.14814,-0.42063,1620.0,0.0,-2.52935,-9.4542,64101.0,585_C20DisCh.csv,4
3.30454,0.14814,-0.52579,1680.0,0.0,-2.52688,-9.44604,64041.0,585_C20DisCh.csv,4
3.31044,0.14814,-0.63095,1740.0,0.0,-2.52441,-9.43787,63981.0,585_C20DisCh.csv,4
3.31617,0.15069,-0.52579,1800.0,0.0,-2.52193,-9.42967,63921.0,585_C20DisCh.csv,4
3.32173,0.14814,-0.52579,1860.0,0.0,-2.51946,-9.42145,63861.0,585_C20DisCh.csv,4
3.32713,0.14814,-0.63095,1920.0,0.0,-2.51699,-9.41324,63801.0,585_C20DisCh.csv,4
3.33235,0.14814,-0.52579,1980.0,0.0,-2.51451,-9.405,63741.0,585_C20DisCh.csv,4
3.33758,0.14814,-0.42063,2040.0,0.0,-2.51204,-9.39675,63681.0,585_C20DisCh.csv,4
3.34247,0.14814,-0.52579,2100.0,0.0,-2.50957,-9.38849,63621.0,585_C20DisCh.csv,4
3.34735,0.14814,-0.63095,2160.0,0.0,-2.50709,-9.3802,63561.0,585_C20DisCh.csv,4
3.35191,0.14814,-0.63095,2220.0,0.0,-2.50462,-9.37193,63501.0,585_C20DisCh.csv,4
3.35663,0.15069,-0.63095,2280.0,0.0,-2.50214,-9.36363,63441.0,585_C20DisCh.csv,4
3.36101,0.14814,-0.63095,2340.0,0.0,-2.49967,-9.35532,63381.0,585_C20DisCh.csv,4
3.36522,0.14814,-0.52579,2400.0,0.0,-2.4972,-9.347,63321.0,585_C20DisCh.csv,4
3.36927,0.15069,-0.52579,2460.0,0.0,-2.49472,-9.33867,63261.0,585_C20DisCh.csv,4
3.37331,0.14814,-0.52579,2520.0,0.0,-2.49225,-9.33034,63201.0,585_C20DisCh.csv,4
3.37702,0.15069,-0.42063,2580.0,0.0,-2.48978,-9.32198,63141.0,585_C20DisCh.csv,4
3.38056,0.14814,-0.52579,2640.0,0.0,-2.4873,-9.31361,63081.0,585_C20DisCh.csv,4
3.3841,0.14814,-0.52579,2700.0,0.0,-2.48482,-9.30524,63021.0,585_C20DisCh.csv,4
3.3873,0.14814,-0.52579,2760.0,0.0,-2.48235,-9.29688,62961.0,585_C20DisCh.csv,4
3.39051,0.14814,-0.52579,2820.0,0.0,-2.47988,-9.28849,62901.0,585_C20DisCh.csv,4
3.39337,0.14814,-0.42063,2880.0,0.0,-2.4774,-9.28009,62841.0,585_C20DisCh.csv,4
3.39624,0.14814,-0.52579,2940.0,0.0,-2.47493,-9.2717,62781.0,585_C20DisCh.csv,4
3.39877,0.14814,-0.52579,3000.0,0.0,-2.47245,-9.26326,62721.0,585_C20DisCh.csv,4
3.4013,0.14814,-0.52579,3060.0,0.0,-2.46997,-9.25485,62661.0,585_C20DisCh.csv,4
3.40365,0.14814,-0.63095,3120.0,0.0,-2.4675,-9.24644,62601.0,585_C20DisCh.csv,4
3.40601,0.14814,-0.52579,3180.0,0.0,-2.46503,-9.23802,62541.0,585_C20DisCh.csv,4
3.40821,0.15069,-0.52579,3240.0,0.0,-2.46253,-9.2295,62481.0,585_C20DisCh.csv,4
3.41023,0.14814,-0.42063,3300.0,0.0,-2.46005,-9.22106,62421.0,585_C20DisCh.csv,4
3.41225,0.14814,-0.52579,3360.0,0.0,-2.45758,-9.21262,62361.0,585_C20DisCh.csv,4
3.41427,0.14814,-0.52579,3420.0,0.0,-2.4551,-9.20417,62301.0,585_C20DisCh.csv,4
3.4163,0.14814,-0.52579,3480.0,0.0,-2.45263,-9.19573,62241.0,585_C20DisCh.csv,4
3.41832,0.14814,-0.52579,3540.0,0.0,-2.45016,-9.18727,62181.0,585_C20DisCh.csv,4
3.42034,0.14814,-0.52579,3600.0,0.0,-2.44768,-9.17882,62121.0,585_C20DisCh.csv,4
3.42237,0.14814,-0.52579,3660.0,0.0,-2.44521,-9.17035,62061.0,585_C20DisCh.csv,4
3.42422,0.14814,-0.52579,3720.0,0.0,-2.44273,-9.16188,62001.0,585_C20DisCh.csv,4
3.42624,0.14814,-0.52579,3780.0,0.0,-2.44026,-9.15342,61941.0,585_C20DisCh.csv,4
3.42827,0.14814,-0.52579,3840.0,0.0,-2.43779,-9.14494,61881.0,585_C20DisCh.csv,4
3.43012,0.15069,-0.42063,3900.0,0.0,-2.43532,-9.13646,61821.0,585_C20DisCh.csv,4
3.43197,0.14814,-0.42063,3960.0,0.0,-2.43284,-9.12797,61761.0,585_C20DisCh.csv,4
3.43383,0.15069,-0.52579,4020.0,0.0,-2.43036,-9.11946,61701.0,585_C20DisCh.csv,4
3.43585,0.14814,-0.52579,4080.0,0.0,-2.42786,-9.11087,61641.0,585_C20DisCh.csv,4
3.4377,0.14814,-0.52579,4140.0,0.0,-2.42537,-9.10232,61581.0,585_C20DisCh.csv,4
3.43973,0.14814,-0.73611,4200.0,0.0,-2.42289,-9.09379,61521.0,585_C20DisCh.csv,4
3.44158,0.14814,-0.63095,4260.0,0.0,-2.42042,-9.08526,61461.0,585_C20DisCh.csv,4
3.44344,0.14814,-0.63095,4320.0,0.0,-2.41794,-9.07675,61401.0,585_C20DisCh.csv,4
3.44512,0.15069,-0.52579,4380.0,0.0,-2.41546,-9.06821,61341.0,585_C20DisCh.csv,4
3.44698,0.14814,-0.52579,4440.0,0.0,-2.41298,-9.05964,61281.0,585_C20DisCh.csv,4
3.44866,0.14814,-0.73611,4500.0,0.0,-2.4105,-9.05111,61221.0,585_C20DisCh.csv,4
3.45052,0.14814,-0.52579,4560.0,0.0,-2.40803,-9.04258,61161.0,585_C20DisCh.csv,4
3.4522,0.14814,-0.73611,4620.0,0.0,-2.40556,-9.03405,61101.0,585_C20DisCh.csv,4
3.45406,0.15069,-0.63095,4680.0,0.0,-2.40308,-9.02551,61041.0,585_C20DisCh.csv,4
3.45574,0.14814,-0.52579,4740.0,0.0,-2.40061,-9.01696,60981.0,585_C20DisCh.csv,4
3.45726,0.14814,-0.52579,4800.0,0.0,-2.39813,-9.0084,60921.0,585_C20DisCh.csv,4
3.45878,0.14814,-0.42063,4860.0,0.0,-2.39565,-8.99983,60861.0,585_C20DisCh.csv,4
3.46029,0.15069,-0.52579,4920.0,0.0,-2.39318,-8.99127,60801.0,585_C20DisCh.csv,4
3.46181,0.14814,-0.63095,4980.0,0.0,-2.39071,-8.98271,60741.0,585_C20DisCh.csv,4
3.46316,0.14814,-0.63095,5040.0,0.0,-2.38823,-8.97414,60681.0,585_C20DisCh.csv,4
3.46451,0.14814,-0.73611,5100.0,0.0,-2.38576,-8.96557,60621.0,585_C20DisCh.csv,4
3.46569,0.14814,-0.63095,5160.0,0.0,-2.38328,-8.957,60561.0,585_C20DisCh.csv,4
3.46687,0.14814,-0.52579,5220.0,0.0,-2.38081,-8.94842,60501.0,585_C20DisCh.csv,4
3.46788,0.15069,-0.52579,5280.0,0.0,-2.37833,-8.93983,60441.0,585_C20DisCh.csv,4
3.46889,0.14814,-0.42063,5340.0,0.0,-2.37586,-8.93125,60381.0,585_C20DisCh.csv,4
3.46973,0.14814,-0.73611,5400.0,0.0,-2.37339,-8.92269,60321.0,585_C20DisCh.csv,4
3.47074,0.14814,-0.73611,5460.0,0.0,-2.37092,-8.9141,60261.0,585_C20DisCh.csv,4
3.47159,0.14814,-0.63095,5520.0,0.0,-2.36844,-8.90551,60201.0,585_C20DisCh.csv,4
3.47226,0.14814,-0.52579,5580.0,0.0,-2.36597,-8.89692,60141.0,585_C20DisCh.csv,4
3.4731,0.15069,-0.42063,5640.0,0.0,-2.36349,-8.88832,60081.0,585_C20DisCh.csv,4
3.47378,0.14814,-0.52579,5700.0,0.0,-2.361,-8.87967,60021.0,585_C20DisCh.csv,4
3.47445,0.14814,-0.73611,5760.0,0.0,-2.35853,-8.87109,59961.0,585_C20DisCh.csv,4
