Temperature,File,Rows,Columns,Missing Values,Duplicate Rows
0degC,589_Charge4.csv,205,15,205,3
0degC,590_Charge15.csv,205,15,205,0
0degC,589_Charge7.csv,206,15,206,2
0degC,590_Charge11.csv,205,15,205,3
0degC,589_Charge1.csv,131,15,131,2
0degC,589_US06.csv,33806,15,33806,0
0degC,589_Charge6.csv,205,15,205,3
0degC,590_Mixed4.csv,68027,15,68027,1
0degC,589_Cap_1C.csv,366,15,366,2
0degC,589_Charge3.csv,206,15,206,2
0degC,585_HPPC.csv,40219,15,40219,188
0degC,585_Dis_0p5C.csv,310,15,310,2
0degC,585_C20DisCh.csv,2244,15,2244,1
0degC,589_Charge8.csv,206,15,206,2
0degC,590_Mixed7.csv,61540,15,61540,1
0degC,589_LA92.csv,81577,15,81577,0
0degC,589_Mixed1.csv,67312,15,67312,1
0degC,590_Charge14.csv,205,15,205,2
0degC,589_Charge5.csv,206,15,206,3
0degC,590_Charge12.csv,205,15,205,2
0degC,590_Mixed5.csv,64995,15,64995,1
0degC,590_Charge10.csv,208,15,208,0
0degC,590_Charge16.csv,153,15,153,1
0degC,585_Dis_2C.csv,230,15,230,2
0degC,590_Mixed6.csv,62483,15,62483,0
0degC,589_Mixed2.csv,72303,15,72303,0
0degC,589_Charge2.csv,207,15,207,2
0degC,589_HWFET.csv,49678,15,49678,1
0degC,590_Charge13.csv,205,15,205,2
0degC,589_UDDS.csv,140435,15,140435,2
0degC,590_Mixed8.csv,75838,15,75838,0
0degC,590_PausCycl.csv,26301,15,26301,1
10degC,571_Mixed8.csv,81422,15,81422,0
10degC,571_Charge13.csv,206,15,206,3
10degC,576_UDDS.csv,148898,15,148898,1
10degC,567_Mixed1.csv,72329,15,72329,1
10degC,567_Charge6.csv,207,15,207,2
10degC,582_LA92.csv,90740,15,90759,202
10degC,571_Mixed4.csv,73929,15,73929,1
10degC,571_Cap_1C.csv,368,15,368,1
10degC,576_Charge1.csv,130,15,130,1
10degC,571_Charge10.csv,208,15,208,3
10degC,571_PausCycl.csv,27831,15,27831,1
10degC,571_Mixed6.csv,73921,15,73921,1
10degC,575_C20DisCh.csv,2337,15,2337,1
10degC,571_Mixed5.csv,67174,15,67174,1
10degC,567_Mixed2.csv,77752,15,77752,1
10degC,575_Dis_0p5C.csv,318,15,318,3
10degC,571_Charge16.csv,152,15,152,3
10degC,576_Cap_1C.csv,375,15,375,0
10degC,571_Charge11.csv,206,15,206,0
10degC,576_HWFET.csv,52878,15,52878,1
10degC,575_Dis_2C.csv,236,15,236,3
10degC,576_Charge3.csv,206,15,206,2
10degC,567_US06.csv,38718,15,38718,0
10degC,567_Charge7.csv,208,15,208,2
10degC,571_Charge15.csv,206,15,206,3
10degC,571_Mixed7.csv,69325,15,69325,1
10degC,571_Charge12.csv,205,15,205,2
10degC,571_Charge14.csv,206,15,206,3
10degC,575_HPPC.csv,44219,15,44219,206
10degC,567_Charge8.csv,208,15,208,2
10degC,576_Charge4.csv,206,15,206,2
10degC,576_Charge2.csv,209,15,209,3
25degC,549_C20DisCh.csv,2423,15,2423,2
25degC,551_Charge7.csv,210,15,210,3
25degC,551_Charge2.csv,213,15,213,1
25degC,551_Charge8.csv,211,15,211,2
25degC,549_Dis_2C.csv,27,15,27,0
25degC,549_Dis_0p5C.csv,111,15,111,0
25degC,551_Mixed1.csv,77227,15,77227,1
25degC,551_LA92.csv,100764,15,100764,1
25degC,551_HWFET.csv,6002,15,6002,0
25degC,551_Charge4.csv,130,15,130,0
25degC,549_HPPC.csv,48048,15,48048,233
25degC,549_Charge.csv,855,14,0,12
25degC,551_Charge3.csv,210,15,210,2
25degC,551_Charge1.csv,130,15,130,1
25degC,551_Cap_1C.csv,397,15,397,2
25degC,551_Mixed2.csv,79172,15,79172,1
25degC,551_Charge5.csv,210,15,210,2
25degC,551_Charge6.csv,210,15,210,1
25degC,552_Charge14.csv,209,15,209,2
25degC,552_Mixed5.csv,72184,15,72184,0
25degC,552_Mixed7.csv,73235,15,73235,1
25degC,551_US06.csv,40155,15,40155,1
25degC,552_Charge12.csv,209,15,209,2
25degC,552_Charge10.csv,209,15,209,2
25degC,551_UDDS.csv,159646,15,159646,0
25degC,552_PausCycl.csv,63019,15,63019,4
25degC,552_Charge9.csv,213,15,213,2
25degC,552_Charge15.csv,209,15,209,1
25degC,552_Mixed3.csv,73827,15,73827,0
25degC,552_Mixed8.csv,85915,15,85915,0
25degC,552_Charge16.csv,128,15,128,1
