Target,Dataset,MAE,RMSE,R2,Model
SOC,Train,4.394107200404817,9.18000764068227,0.9523391308094296,
SOC,Validation,15.707496545081618,21.03916514713996,0.3177928235419356,
SOC,Test,4.681095499648468,11.754876173309327,0.9187193220299668,
Remaining Charging Time,Train,5011.746531185508,8046.066082492068,0.6272435664878859,
Remaining Charging Time,Validation,3274.0768029612536,3667.171230954775,-5.459443680167445,
Remaining Charging Time,Test,8817.875378622599,12224.276889661494,0.7092719665351541,
SOC,Train,0.06591513651451136,0.3901783795066487,0.9999139001738945,Random Forest
SOC,Validation,9.699772597425342,11.995793338956366,0.7782226300863255,Random Forest
SOC,Test,0.6239705785455993,3.769012550916955,0.9916438473014783,Random Forest
Remaining Charging Time,Train,7.252785710477729,148.2450574433187,0.9998734627467493,Random Forest
Remaining Charging Time,Validation,16.067371508355905,25.540692594931155,0.9996866728141353,Random Forest
Remaining Charging Time,Test,481.6138413466571,761.5629920414145,0.9988716282186544,Random Forest
SOC,Train,0.10062243592236704,0.2421743299219383,0.9999668310222914,XGBoost
SOC,Validation,10.687767382544449,13.5160557738502,0.7184476031602388,XGBoost
SOC,Test,0.5007062639087156,1.690870626006431,0.9983182092502219,XGBoost
Remaining Charging Time,Train,21.898681691435545,61.80254849613265,0.9999780076962244,XGBoost
Remaining Charging Time,Validation,22.567051864182886,33.38403850589748,0.9994646836804457,XGBoost
Remaining Charging Time,Test,606.7076792604277,1223.3551923505697,0.9970883062585733,XGBoost
