Experiment,Model,Target,n_estimators,max_depth,min_samples_split,min_samples_leaf,Train_MAE,Train_RMSE,Train_R2,Validation_MAE,Validation_RMSE,Validation_R2,learning_rate,min_child_weight
RF_1_Baseline_Tuned,Random Forest,Remaining Charging Time,250,8,10.0,4.0,54.6192686063142,259.7532237309449,0.9996115099949128,66.00901801686526,85.3416770896009,0.9965017158335832,,
RF_3_More_Trees,Random Forest,Remaining Charging Time,400,8,10.0,4.0,54.445728808817265,258.47098396603735,0.9996153359942894,66.03110210847088,85.45310760387261,0.9964925744595701,,
XGB_1_Baseline_Tuned,XGBoost,Remaining Charging Time,300,3,,,129.5961532265333,396.70198142854355,0.9990938779540582,210.95424817808475,316.45013087648545,0.9519001970288693,0.03,4.0
XGB_3_Slower_Learning,XGBoost,Remaining Charging Time,400,3,,,138.7744334407555,432.65912477025836,0.9989221714272027,238.2113578236483,357.28744671885187,0.938684785309696,0.02,4.0
RF_2_More_Regularization,Random Forest,Remaining Charging Time,250,6,10.0,5.0,153.2965979617419,590.7990327724632,0.9979902709560577,292.96232328333326,359.4737688271947,0.9379320862354393,,
XGB_2_More_Regularization,XGBoost,Remaining Charging Time,300,2,,,430.9373818684072,1294.7076905760364,0.9903483533688683,647.688945669877,1080.6186365404496,0.43911006793580365,0.03,5.0
XGB_2_More_Regularization,XGBoost,SOC,300,2,,,1.2508896415421344,2.7852922823454316,0.995612497019002,5.767199061938905,8.348844436489136,0.8925733541059921,0.03,5.0
XGB_3_Slower_Learning,XGBoost,SOC,400,3,,,0.5373658767094274,1.4274974854451492,0.9988475380997448,7.488319162717896,9.850165138171336,0.8504638133573464,0.02,4.0
XGB_1_Baseline_Tuned,XGBoost,SOC,300,3,,,0.503184184044593,1.3300741674594838,0.9989994758163704,7.498428364001095,9.9448238364963,0.8475759604369031,0.03,4.0
RF_2_More_Regularization,Random Forest,SOC,250,6,10.0,5.0,0.654421685528609,1.7832477588055256,0.9982015463620136,8.633458176372725,11.365575075108964,0.8009133639327036,,
RF_1_Baseline_Tuned,Random Forest,SOC,250,8,10.0,4.0,0.2588752987775545,0.8746412445057248,0.999567350925484,9.072034605325749,11.613401902921073,0.7921365218102135,,
RF_3_More_Trees,Random Forest,SOC,400,8,10.0,4.0,0.2529478473136213,0.840285569061208,0.999600672073446,9.162054187248867,11.710833284062657,0.7886341233825547,,
